上厕所 7	8	33	104	4
取快递	258	259	3	104	4
洗衣服	258	259	33	104	4
购物	258	259	113	104	4
玩原神	259	260	33	104	4
跑步	260	261	71	104	4
上厕所	261	262	33	104	4
上厕所	271	272	33	104	4
取快递	282	283	3	104	4
洗衣服	282	283	33	104	4
购物	282	283	113	104	4
玩原神	283	284	33	104	4
跑步	284	285	71	104	4
上厕所	285	286	33	104	4
上厕所	295	296	33	104	4
取快递	306	307	3	104	4
洗衣服	306	307	33	104	4
购物	306	307	113	104	4
玩原神	307	308	33	104	4
跑步	308	309	71	104	4
上厕所	309	310	33	104	4
上厕所	319	320	33	104	4
取快递	330	331	3	104	4
洗衣服	330	331	33	104	4
购物	330	331	113	104	4
玩原神	331	332	33	104	4
跑步	332	333	71	104	4
上厕所	333	334	33	104	4
上厕所	343	344	33	104	4
取快递	354	355	3	104	4
洗衣服	354	355	33	104	4
购物	354	355	113	104	4
玩原神	355	356	33	104	4
跑步	356	357	71	104	4
上厕所	357	358	33	104	4
上厕所	367	368	33	104	4
取快递	378	379	3	104	4
洗衣服	378	379	33	104	4
购物	378	379	113	104	4
玩原神	379	380	33	104	4
跑步	380	381	71	104	4
上厕所	381	382	33	104	4
上厕所	391	392	33	104	4
取快递	402	403	3	104	4
洗衣服	402	403	33	104	4
购物	402	403	113	104	4
玩原神	403	404	33	104	4
跑步	404	405	71	104	4
上厕所	405	406	33	104	4
上厕所	415	416	33	104	4
取快递	426	427	3	104	4
洗衣服	426	427	33	104	4
购物	426	427	113	104	4
玩原神	427	428	33	104	4
跑步	428	429	71	104	4
上厕所	429	430	33	104	4
上厕所	439	440	33	104	4
取快递	450	451	3	104	4
洗衣服	450	451	33	104	4
购物	450	451	113	104	4
玩原神	451	452	33	104	4
跑步	452	453	71	104	4
上厕所	453	454	33	104	4
上厕所	463	464	33	104	4
取快递	474	475	3	104	4
洗衣服	474	475	33	104	4
购物	474	475	113	104	4
玩原神	475	476	33	104	4
跑步	476	477	71	104	4
上厕所	477	478	33	104	4
上厕所	487	488	33	104	4
取快递	498	499	3	104	4
洗衣服	498	499	33	104	4
购物	498	499	113	104	4
玩原神	499	500	33	104	4
跑步	500	501	71	104	4
上厕所	501	502	33	104	4
上厕所	511	512	33	104	4
取快递	522	523	3	104	4
洗衣服	522	523	33	104	4
购物	522	523	113	104	4
玩原神	523	524	33	104	4
跑步	524	525	71	104	4
上厕所	525	526	33	104	4
上厕所	535	536	33	104	4
取快递	546	547	3	104	4
洗衣服	546	547	33	104	4
购物	546	547	113	104	4
玩原神	547	548	33	104	4
跑步	548	549	71	104	4
上厕所	549	550	33	104	4
上厕所	559	560	33	104	4
取快递	570	571	3	104	4
洗衣服	570	571	33	104	4
购物	570	571	113	104	4
玩原神	571	572	33	104	4
跑步	572	573	71	104	4
上厕所	573	574	33	104	4
上厕所	583	584	33	104	4
取快递	594	595	3	104	4
洗衣服	594	595	33	104	4
购物	594	595	113	104	4
玩原神	595	596	33	104	4
跑步	596	597	71	104	4
上厕所	597	598	33	104	4
上厕所	607	608	33	104	4
取快递	618	619	3	104	4
洗衣服	618	619	33	104	4
购物	618	619	113	104	4
玩原神	619	620	33	104	4
跑步	620	621	71	104	4
上厕所	621	622	33	104	4
上厕所	631	632	33	104	4
取快递	642	643	3	104	4
洗衣服	642	643	33	104	4
购物	642	643	113	104	4
玩原神	643	644	33	104	4
跑步	644	645	71	104	4
上厕所	645	646	33	104	4
上厕所	655	656	33	104	4
取快递	666	667	3	104	4
洗衣服	666	667	33	104	4
购物	666	667	113	104	4
玩原神	667	668	33	104	4
跑步	668	669	71	104	4
上厕所	669	670	33	104	4
上厕所	679	680	33	104	4
取快递	690	691	3	104	4
洗衣服	690	691	33	104	4
购物	690	691	113	104	4
玩原神	691	692	33	104	4
跑步	692	693	71	104	4
上厕所	693	694	33	104	4
上厕所	703	704	33	104	4
取快递	714	715	3	104	4
洗衣服	714	715	33	104	4
购物	714	715	113	104	4
玩原神	715	716	33	104	4
跑步	716	717	71	104	4
上厕所	717	718	33	104	4
上厕所	727	728	33	104	4
取快递	738	739	3	104	4
洗衣服	738	739	33	104	4
购物	738	739	113	104	4
玩原神	739	740	33	104	4
跑步	740	741	71	104	4
上厕所	741	742	33	104	4
上厕所	751	752	33	104	4
取快递	762	763	3	104	4
洗衣服	762	763	33	104	4
购物	762	763	113	104	4
玩原神	763	764	33	104	4
跑步	764	765	71	104	4
上厕所	765	766	33	104	4
上厕所	775	776	33	104	4
取快递	786	787	3	104	4
洗衣服	786	787	33	104	4
购物	786	787	113	104	4
玩原神	787	788	33	104	4
跑步	788	789	71	104	4
上厕所	789	790	33	104	4
上厕所	799	800	33	104	4
取快递	810	811	3	104	4
洗衣服	810	811	33	104	4
购物	810	811	113	104	4
玩原神	811	812	33	104	4
跑步	812	813	71	104	4
上厕所	813	814	33	104	4
上厕所	823	824	33	104	4
取快递	834	835	3	104	4
洗衣服	834	835	33	104	4
购物	834	835	113	104	4
玩原神	835	836	33	104	4
跑步	836	837	71	104	4
上厕所	837	838	33	104	4
上厕所	847	848	33	104	4
取快递	858	859	3	104	4
洗衣服	858	859	33	104	4
购物	858	859	113	104	4
玩原神	859	860	33	104	4
跑步	860	861	71	104	4
上厕所	861	862	33	104	4
上厕所	871	872	33	104	4
取快递	882	883	3	104	4
洗衣服	882	883	33	104	4
购物	882	883	113	104	4
玩原神	883	884	33	104	4
跑步	884	885	71	104	4
上厕所	885	886	33	104	4
上厕所	895	896	33	104	4
取快递	906	907	3	104	4
洗衣服	906	907	33	104	4
购物	906	907	113	104	4
玩原神	907	908	33	104	4
跑步	908	909	71	104	4
上厕所	909	910	33	104	4
上厕所	919	920	33	104	4
取快递	930	931	3	104	4
洗衣服	930	931	33	104	4
购物	930	931	113	104	4
玩原神	931	932	33	104	4
跑步	932	933	71	104	4
上厕所	933	934	33	104	4
上厕所	943	944	33	104	4
取快递	954	955	3	104	4
洗衣服	954	955	33	104	4
购物	954	955	113	104	4
玩原神	955	956	33	104	4
跑步	956	957	71	104	4
上厕所	957	958	33	104	4
上厕所	967	968	33	104	4
取快递	978	979	3	104	4
洗衣服	978	979	33	104	4
购物	978	979	113	104	4
玩原神	979	980	33	104	4
跑步	980	981	71	104	4
上厕所	981	982	33	104	4
上厕所	991	992	33	104	4
取快递	1002	1003	3	104	4
洗衣服	1002	1003	33	104	4
购物	1002	1003	113	104	4
玩原神	1003	1004	33	104	4
跑步	1004	1005	71	104	4
上厕所	1005	1006	33	104	4
上厕所	1015	1016	33	104	4
取快递	1026	1027	3	104	4
洗衣服	1026	1027	33	104	4
购物	1026	1027	113	104	4
玩原神	1027	1028	33	104	4
跑步	1028	1029	71	104	4
上厕所	1029	1030	33	104	4
上厕所	1039	1040	33	104	4
取快递	1050	1051	3	104	4
洗衣服	1050	1051	33	104	4
购物	1050	1051	113	104	4
玩原神	1051	1052	33	104	4
跑步	1052	1053	71	104	4
上厕所	1053	1054	33	104	4
上厕所	1063	1064	33	104	4
取快递	1074	1075	3	104	4
洗衣服	1074	1075	33	104	4
购物	1074	1075	113	104	4
玩原神	1075	1076	33	104	4
跑步	1076	1077	71	104	4
上厕所	1077	1078	33	104	4
上厕所	1087	1088	33	104	4
取快递	1098	1099	3	104	4
洗衣服	1098	1099	33	104	4
购物	1098	1099	113	104	4
玩原神	1099	1100	33	104	4
跑步	1100	1101	71	104	4
上厕所	1101	1102	33	104	4
上厕所	1111	1112	33	104	4
取快递	1122	1123	3	104	4
洗衣服	1122	1123	33	104	4
购物	1122	1123	113	104	4
玩原神	1123	1124	33	104	4
跑步	1124	1125	71	104	4
上厕所	1125	1126	33	104	4
上厕所	1135	1136	33	104	4
取快递	1146	1147	3	104	4
洗衣服	1146	1147	33	104	4
购物	1146	1147	113	104	4
玩原神	1147	1148	33	104	4
跑步	1148	1149	71	104	4
上厕所	1149	1150	33	104	4
上厕所	1159	1160	33	104	4
取快递	1170	1171	3	104	4
洗衣服	1170	1171	33	104	4
购物	1170	1171	113	104	4
玩原神	1171	1172	33	104	4
跑步	1172	1173	71	104	4
上厕所	1173	1174	33	104	4
上厕所	1183	1184	33	104	4
取快递	1194	1195	3	104	4
洗衣服	1194	1195	33	104	4
购物	1194	1195	113	104	4
玩原神	1195	1196	33	104	4
跑步	1196	1197	71	104	4
上厕所	1197	1198	33	104	4
上厕所	1207	1208	33	104	4
取快递	1218	1219	3	104	4
洗衣服	1218	1219	33	104	4
购物	1218	1219	113	104	4
玩原神	1219	1220	33	104	4
跑步	1220	1221	71	104	4
上厕所	1221	1222	33	104	4
上厕所	1231	1232	33	104	4
取快递	1242	1243	3	104	4
洗衣服	1242	1243	33	104	4
购物	1242	1243	113	104	4
玩原神	1243	1244	33	104	4
跑步	1244	1245	71	104	4
上厕所	1245	1246	33	104	4
上厕所	1255	1256	33	104	4
取快递	1266	1267	3	104	4
洗衣服	1266	1267	33	104	4
购物	1266	1267	113	104	4
玩原神	1267	1268	33	104	4
跑步	1268	1269	71	104	4
上厕所	1269	1270	33	104	4
上厕所	1279	1280	33	104	4
取快递	1290	1291	3	104	4
洗衣服	1290	1291	33	104	4
购物	1290	1291	113	104	4
玩原神	1291	1292	33	104	4
跑步	1292	1293	71	104	4
上厕所	1293	1294	33	104	4
上厕所	1303	1304	33	104	4
取快递	1314	1315	3	104	4
洗衣服	1314	1315	33	104	4
购物	1314	1315	113	104	4
玩原神	1315	1316	33	104	4
跑步	1316	1317	71	104	4
上厕所	1317	1318	33	104	4
上厕所	1327	1328	33	104	4
取快递	1338	1339	3	104	4
洗衣服	1338	1339	33	104	4
购物	1338	1339	113	104	4
玩原神	1339	1340	33	104	4
跑步	1340	1341	71	104	4
上厕所	1341	1342	33	104	4
上厕所	1351	1352	33	104	4
取快递	1362	1363	3	104	4
洗衣服	1362	1363	33	104	4
购物	1362	1363	113	104	4
玩原神	1363	1364	33	104	4
跑步	1364	1365	71	104	4
上厕所	1365	1366	33	104	4
上厕所	1375	1376	33	104	4
取快递	1386	1387	3	104	4
洗衣服	1386	1387	33	104	4
购物	1386	1387	113	104	4
玩原神	1387	1388	33	104	4
跑步	1388	1389	71	104	4
上厕所	1389	1390	33	104	4
上厕所	1399	1400	33	104	4
取快递	1410	1411	3	104	4
洗衣服	1410	1411	33	104	4
购物	1410	1411	113	104	4
玩原神	1411	1412	33	104	4
跑步	1412	1413	71	104	4
上厕所	1413	1414	33	104	4
上厕所	1423	1424	33	104	4
取快递	1434	1435	3	104	4
洗衣服	1434	1435	33	104	4
购物	1434	1435	113	104	4
玩原神	1435	1436	33	104	4
跑步	1436	1437	71	104	4
上厕所	1437	1438	33	104	4
上厕所	1447	1448	33	104	4
取快递	1458	1459	3	104	4
洗衣服	1458	1459	33	104	4
购物	1458	1459	113	104	4
玩原神	1459	1460	33	104	4
跑步	1460	1461	71	104	4
上厕所	1461	1462	33	104	4
上厕所	1471	1472	33	104	4
取快递	1482	1483	3	104	4
洗衣服	1482	1483	33	104	4
购物	1482	1483	113	104	4
玩原神	1483	1484	33	104	4
跑步	1484	1485	71	104	4
上厕所	1485	1486	33	104	4
上厕所	1495	1496	33	104	4
取快递	1506	1507	3	104	4
洗衣服	1506	1507	33	104	4
购物	1506	1507	113	104	4
玩原神	1507	1508	33	104	4
跑步	1508	1509	71	104	4
上厕所	1509	1510	33	104	4
上厕所	1519	1520	33	104	4
取快递	1530	1531	3	104	4
洗衣服	1530	1531	33	104	4
购物	1530	1531	113	104	4
玩原神	1531	1532	33	104	4
跑步	1532	1533	71	104	4
上厕所	1533	1534	33	104	4
上厕所	1543	1544	33	104	4
取快递	1554	1555	3	104	4
洗衣服	1554	1555	33	104	4
购物	1554	1555	113	104	4
玩原神	1555	1556	33	104	4
跑步	1556	1557	71	104	4
上厕所	1557	1558	33	104	4
上厕所	1567	1568	33	104	4
取快递	1578	1579	3	104	4
洗衣服	1578	1579	33	104	4
购物	1578	1579	113	104	4
玩原神	1579	1580	33	104	4
跑步	1580	1581	71	104	4
上厕所	1581	1582	33	104	4
上厕所	1591	1592	33	104	4
取快递	1602	1603	3	104	4
洗衣服	1602	1603	33	104	4
购物	1602	1603	113	104	4
玩原神	1603	1604	33	104	4
跑步	1604	1605	71	104	4
上厕所	1605	1606	33	104	4
上厕所	1615	1616	33	104	4
取快递	1626	1627	3	104	4
洗衣服	1626	1627	33	104	4
购物	1626	1627	113	104	4
玩原神	1627	1628	33	104	4
跑步	1628	1629	71	104	4
上厕所	1629	1630	33	104	4
上厕所	1639	1640	33	104	4
取快递	1650	1651	3	104	4
洗衣服	1650	1651	33	104	4
购物	1650	1651	113	104	4
玩原神	1651	1652	33	104	4
跑步	1652	1653	71	104	4
上厕所	1653	1654	33	104	4
上厕所	1663	1664	33	104	4
取快递	1674	1675	3	104	4
洗衣服	1674	1675	33	104	4
购物	1674	1675	113	104	4
玩原神	1675	1676	33	104	4
跑步	1676	1677	71	104	4
上厕所	1677	1678	33	104	4
上厕所	1687	1688	33	104	4
取快递	1698	1699	3	104	4
洗衣服	1698	1699	33	104	4
购物	1698	1699	113	104	4
玩原神	1699	1700	33	104	4
跑步	1700	1701	71	104	4
上厕所	1701	1702	33	104	4
上厕所	1711	1712	33	104	4
取快递	1722	1723	3	104	4
洗衣服	1722	1723	33	104	4
购物	1722	1723	113	104	4
玩原神	1723	1724	33	104	4
跑步	1724	1725	71	104	4
上厕所	1725	1726	33	104	4
上厕所	1735	1736	33	104	4
取快递	1746	1747	3	104	4
洗衣服	1746	1747	33	104	4
购物	1746	1747	113	104	4
玩原神	1747	1748	33	104	4
跑步	1748	1749	71	104	4
上厕所	1749	1750	33	104	4
上厕所	1759	1760	33	104	4
取快递	1770	1771	3	104	4
洗衣服	1770	1771	33	104	4
购物	1770	1771	113	104	4
玩原神	1771	1772	33	104	4
跑步	1772	1773	71	104	4
上厕所	1773	1774	33	104	4
上厕所	1783	1784	33	104	4
取快递	1794	1795	3	104	4
洗衣服	1794	1795	33	104	4
购物	1794	1795	113	104	4
玩原神	1795	1796	33	104	4
跑步	1796	1797	71	104	4
上厕所	1797	1798	33	104	4
上厕所	1807	1808	33	104	4
取快递	1818	1819	3	104	4
洗衣服	1818	1819	33	104	4
购物	1818	1819	113	104	4
玩原神	1819	1820	33	104	4
跑步	1820	1821	71	104	4
上厕所	1821	1822	33	104	4
上厕所	1831	1832	33	104	4
取快递	1842	1843	3	104	4
洗衣服	1842	1843	33	104	4
购物	1842	1843	113	104	4
玩原神	1843	1844	33	104	4
跑步	1844	1845	71	104	4
上厕所	1845	1846	33	104	4
上厕所	1855	1856	33	104	4
取快递	1866	1867	3	104	4
洗衣服	1866	1867	33	104	4
购物	1866	1867	113	104	4
玩原神	1867	1868	33	104	4
跑步	1868	1869	71	104	4
上厕所	1869	1870	33	104	4
上厕所	1879	1880	33	104	4
取快递	1890	1891	3	104	4
洗衣服	1890	1891	33	104	4
购物	1890	1891	113	104	4
玩原神	1891	1892	33	104	4
跑步	1892	1893	71	104	4
上厕所	1893	1894	33	104	4
上厕所	1903	1904	33	104	4
取快递	1914	1915	3	104	4
洗衣服	1914	1915	33	104	4
购物	1914	1915	113	104	4
玩原神	1915	1916	33	104	4
跑步	1916	1917	71	104	4
上厕所	1917	1918	33	104	4
上厕所	1927	1928	33	104	4
取快递	1938	1939	3	104	4
洗衣服	1938	1939	33	104	4
购物	1938	1939	113	104	4
玩原神	1939	1940	33	104	4
跑步	1940	1941	71	104	4
上厕所	1941	1942	33	104	4
上厕所	1951	1952	33	104	4
取快递	1962	1963	3	104	4
洗衣服	1962	1963	33	104	4
购物	1962	1963	113	104	4
玩原神	1963	1964	33	104	4
跑步	1964	1965	71	104	4
上厕所	1965	1966	33	104	4
上厕所	1975	1976	33	104	4
取快递	1986	1987	3	104	4
洗衣服	1986	1987	33	104	4
购物	1986	1987	113	104	4
玩原神	1987	1988	33	104	4
跑步	1988	1989	71	104	4
上厕所	1989	1990	33	104	4
上厕所	1999	2000	33	104	4
取快递	2010	2011	3	104	4
洗衣服	2010	2011	33	104	4
购物	2010	2011	113	104	4
玩原神	2011	2012	33	104	4
跑步	2012	2013	71	104	4
上厕所	2013	2014	33	104	4
上厕所	2023	2024	33	104	4
取快递	2034	2035	3	104	4
洗衣服	2034	2035	33	104	4
购物	2034	2035	113	104	4
玩原神	2035	2036	33	104	4
跑步	2036	2037	71	104	4
上厕所	2037	2038	33	104	4
上厕所	2047	2048	33	104	4
取快递	2058	2059	3	104	4
洗衣服	2058	2059	33	104	4
购物	2058	2059	113	104	4
玩原神	2059	2060	33	104	4
跑步	2060	2061	71	104	4
上厕所	2061	2062	33	104	4
上厕所	2071	2072	33	104	4
取快递	2082	2083	3	104	4
洗衣服	2082	2083	33	104	4
购物	2082	2083	113	104	4
玩原神	2083	2084	33	104	4
跑步	2084	2085	71	104	4
上厕所	2085	2086	33	104	4
上厕所	2095	2096	33	104	4
取快递	2106	2107	3	104	4
洗衣服	2106	2107	33	104	4
购物	2106	2107	113	104	4
玩原神	2107	2108	33	104	4
跑步	2108	2109	71	104	4
上厕所	2109	2110	33	104	4
上厕所	2119	2120	33	104	4
取快递	2130	2131	3	104	4
洗衣服	2130	2131	33	104	4
购物	2130	2131	113	104	4
玩原神	2131	2132	33	104	4
跑步	2132	2133	71	104	4
上厕所	2133	2134	33	104	4
上厕所	2143	2144	33	104	4
取快递	2154	2155	3	104	4
洗衣服	2154	2155	33	104	4
购物	2154	2155	113	104	4
玩原神	2155	2156	33	104	4
跑步	2156	2157	71	104	4
上厕所	2157	2158	33	104	4
上厕所	2167	2168	33	104	4
取快递	2178	2179	3	104	4
洗衣服	2178	2179	33	104	4
购物	2178	2179	113	104	4
玩原神	2179	2180	33	104	4
跑步	2180	2181	71	104	4
上厕所	2181	2182	33	104	4
上厕所	2191	2192	33	104	4
取快递	2202	2203	3	104	4
洗衣服	2202	2203	33	104	4
购物	2202	2203	113	104	4
玩原神	2203	2204	33	104	4
跑步	2204	2205	71	104	4
上厕所	2205	2206	33	104	4
上厕所	2215	2216	33	104	4
取快递	2226	2227	3	104	4
洗衣服	2226	2227	33	104	4
购物	2226	2227	113	104	4
玩原神	2227	2228	33	104	4
跑步	2228	2229	71	104	4
上厕所	2229	2230	33	104	4
上厕所	2239	2240	33	104	4
取快递	2250	2251	3	104	4
洗衣服	2250	2251	33	104	4
购物	2250	2251	113	104	4
玩原神	2251	2252	33	104	4
跑步	2252	2253	71	104	4
上厕所	2253	2254	33	104	4
上厕所	2263	2264	33	104	4
取快递	2274	2275	3	104	4
洗衣服	2274	2275	33	104	4
购物	2274	2275	113	104	4
玩原神	2275	2276	33	104	4
跑步	2276	2277	71	104	4
上厕所	2277	2278	33	104	4
上厕所	2287	2288	33	104	4
取快递	2298	2299	3	104	4
洗衣服	2298	2299	33	104	4
购物	2298	2299	113	104	4
玩原神	2299	2300	33	104	4
跑步	2300	2301	71	104	4
上厕所	2301	2302	33	104	4
上厕所	2311	2312	33	104	4
取快递	2322	2323	3	104	4
洗衣服	2322	2323	33	104	4
购物	2322	2323	113	104	4
玩原神	2323	2324	33	104	4
跑步	2324	2325	71	104	4
上厕所	2325	2326	33	104	4
上厕所	2335	2336	33	104	4
取快递	2346	2347	3	104	4
洗衣服	2346	2347	33	104	4
购物	2346	2347	113	104	4
玩原神	2347	2348	33	104	4
跑步	2348	2349	71	104	4
上厕所	2349	2350	33	104	4
上厕所	2359	2360	33	104	4
取快递	2370	2371	3	104	4
洗衣服	2370	2371	33	104	4
购物	2370	2371	113	104	4
玩原神	2371	2372	33	104	4
跑步	2372	2373	71	104	4
上厕所	2373	2374	33	104	4
上厕所	2383	2384	33	104	4
取快递	2394	2395	3	104	4
洗衣服	2394	2395	33	104	4
购物	2394	2395	113	104	4
玩原神	2395	2396	33	104	4
跑步	2396	2397	71	104	4
上厕所	2397	2398	33	104	4
上厕所	2407	2408	33	104	4
取快递	2418	2419	3	104	4
洗衣服	2418	2419	33	104	4
购物	2418	2419	113	104	4
玩原神	2419	2420	33	104	4
跑步	2420	2421	71	104	4
上厕所	2421	2422	33	104	4
上厕所	2431	2432	33	104	4
取快递	2442	2443	3	104	4
洗衣服	2442	2443	33	104	4
购物	2442	2443	113	104	4
玩原神	2443	2444	33	104	4
跑步	2444	2445	71	104	4
上厕所	2445	2446	33	104	4
上厕所	2455	2456	33	104	4
取快递	2466	2467	3	104	4
洗衣服	2466	2467	33	104	4
购物	2466	2467	113	104	4
玩原神	2467	2468	33	104	4
跑步	2468	2469	71	104	4
上厕所	2469	2470	33	104	4
上厕所	2479	2480	33	104	4
取快递	2490	2491	3	104	4
洗衣服	2490	2491	33	104	4
购物	2490	2491	113	104	4
玩原神	2491	2492	33	104	4
跑步	2492	2493	71	104	4
上厕所	2493	2494	33	104	4
上厕所	2503	2504	33	104	4
取快递	2514	2515	3	104	4
洗衣服	2514	2515	33	104	4
购物	2514	2515	113	104	4
玩原神	2515	2516	33	104	4
跑步	2516	2517	71	104	4
上厕所	2517	2518	33	104	4
上厕所	2527	2528	33	104	4
取快递	2538	2539	3	104	4
洗衣服	2538	2539	33	104	4
购物	2538	2539	113	104	4
玩原神	2539	2540	33	104	4
跑步	2540	2541	71	104	4
上厕所	2541	2542	33	104	4
上厕所	2551	2552	33	104	4
取快递	2562	2563	3	104	4
洗衣服	2562	2563	33	104	4
购物	2562	2563	113	104	4
玩原神	2563	2564	33	104	4
跑步	2564	2565	71	104	4
上厕所	2565	2566	33	104	4
上厕所	2575	2576	33	104	4
取快递	2586	2587	3	104	4
洗衣服	2586	2587	33	104	4
购物	2586	2587	113	104	4
玩原神	2587	2588	33	104	4
跑步	2588	2589	71	104	4
上厕所	2589	2590	33	104	4
上厕所	2599	2600	33	104	4
取快递	2610	2611	3	104	4
洗衣服	2610	2611	33	104	4
购物	2610	2611	113	104	4
玩原神	2611	2612	33	104	4
跑步	2612	2613	71	104	4
上厕所	2613	2614	33	104	4
上厕所	2623	2624	33	104	4
取快递	2634	2635	3	104	4
洗衣服	2634	2635	33	104	4
购物	2634	2635	113	104	4
玩原神	2635	2636	33	104	4
跑步	2636	2637	71	104	4
上厕所	2637	2638	33	104	4
上厕所	2647	2648	33	104	4
取快递	2658	2659	3	104	4
洗衣服	2658	2659	33	104	4
购物	2658	2659	113	104	4
玩原神	2659	2660	33	104	4
跑步	2660	2661	71	104	4
上厕所	2661	2662	33	104	4
上厕所	2671	2672	33	104	4
取快递	2682	2683	3	104	4
洗衣服	2682	2683	33	104	4
购物	2682	2683	113	104	4
玩原神	2683	2684	33	104	4
跑步	2684	2685	71	104	4
上厕所	2685	2686	33	104	4
上厕所	2695	2696	33	104	4
取快递	2706	2707	3	104	4
洗衣服	2706	2707	33	104	4
购物	2706	2707	113	104	4
玩原神	2707	2708	33	104	4
跑步	2708	2709	71	104	4
上厕所	2709	2710	33	104	4
上厕所	2719	2720	33	104	4
取快递	2730	2731	3	104	4
洗衣服	2730	2731	33	104	4
购物	2730	2731	113	104	4
玩原神	2731	2732	33	104	4
跑步	2732	2733	71	104	4
上厕所	2733	2734	33	104	4
上厕所	2743	2744	33	104	4
取快递	2754	2755	3	104	4
洗衣服	2754	2755	33	104	4
购物	2754	2755	113	104	4
玩原神	2755	2756	33	104	4
跑步	2756	2757	71	104	4
上厕所	2757	2758	33	104	4
上厕所	2767	2768	33	104	4
取快递	2778	2779	3	104	4
洗衣服	2778	2779	33	104	4
购物	2778	2779	113	104	4
玩原神	2779	2780	33	104	4
跑步	2780	2781	71	104	4
上厕所	2781	2782	33	104	4
上厕所	2791	2792	33	104	4
取快递	2802	2803	3	104	4
洗衣服	2802	2803	33	104	4
购物	2802	2803	113	104	4
玩原神	2803	2804	33	104	4
跑步	2804	2805	71	104	4
上厕所	2805	2806	33	104	4
上厕所	2815	2816	33	104	4
取快递	2826	2827	3	104	4
洗衣服	2826	2827	33	104	4
购物	2826	2827	113	104	4
玩原神	2827	2828	33	104	4
跑步	2828	2829	71	104	4
上厕所	2829	2830	33	104	4
上厕所	2839	2840	33	104	4
取快递	2850	2851	3	104	4
洗衣服	2850	2851	33	104	4
购物	2850	2851	113	104	4
玩原神	2851	2852	33	104	4
跑步	2852	2853	71	104	4
上厕所	2853	2854	33	104	4
上厕所	2863	2864	33	104	4
取快递	2874	2875	3	104	4
洗衣服	2874	2875	33	104	4
购物	2874	2875	113	104	4
玩原神	2875	2876	33	104	4
跑步	2876	2877	71	104	4
上厕所	2877	2878	33	104	4
上厕所	2887	2888	33	104	4
取快递	2898	2899	3	104	4
洗衣服	2898	2899	33	104	4
购物	2898	2899	113	104	4
玩原神	2899	2900	33	104	4
跑步	2900	2901	71	104	4
上厕所	2901	2902	33	104	4
上厕所	2911	2912	33	104	4
取快递	2922	2923	3	104	4
洗衣服	2922	2923	33	104	4
购物	2922	2923	113	104	4
玩原神	2923	2924	33	104	4
跑步	2924	2925	71	104	4
上厕所	2925	2926	33	104	4
上厕所	2935	2936	33	104	4
取快递	2946	2947	3	104	4
洗衣服	2946	2947	33	104	4
购物	2946	2947	113	104	4
玩原神	2947	2948	33	104	4
跑步	2948	2949	71	104	4
上厕所	2949	2950	33	104	4
上厕所	2959	2960	33	104	4
取快递	2970	2971	3	104	4
洗衣服	2970	2971	33	104	4
购物	2970	2971	113	104	4
玩原神	2971	2972	33	104	4
跑步	2972	2973	71	104	4
上厕所	2973	2974	33	104	4
上厕所	2983	2984	33	104	4
取快递	2994	2995	3	104	4
洗衣服	2994	2995	33	104	4
购物	2994	2995	113	104	4
玩原神	2995	2996	33	104	4
跑步	2996	2997	71	104	4
上厕所	2997	2998	33	104	4
上厕所	3007	3008	33	104	4
取快递	3018	3019	3	104	4
洗衣服	3018	3019	33	104	4
