上厕所 7	8	33	103	4
取快递	834	835	3	103	4
洗衣服	834	835	33	103	4
购物	834	835	113	103	4
玩原神	835	836	33	103	4
跑步	836	837	71	103	4
上厕所	837	838	33	103	4
上厕所	847	848	33	103	4
取快递	858	859	3	103	4
洗衣服	858	859	33	103	4
购物	858	859	113	103	4
玩原神	859	860	33	103	4
跑步	860	861	71	103	4
上厕所	861	862	33	103	4
上厕所	871	872	33	103	4
取快递	882	883	3	103	4
洗衣服	882	883	33	103	4
购物	882	883	113	103	4
玩原神	883	884	33	103	4
跑步	884	885	71	103	4
上厕所	885	886	33	103	4
上厕所	895	896	33	103	4
取快递	906	907	3	103	4
洗衣服	906	907	33	103	4
购物	906	907	113	103	4
玩原神	907	908	33	103	4
跑步	908	909	71	103	4
上厕所	909	910	33	103	4
上厕所	919	920	33	103	4
取快递	930	931	3	103	4
洗衣服	930	931	33	103	4
购物	930	931	113	103	4
玩原神	931	932	33	103	4
跑步	932	933	71	103	4
上厕所	933	934	33	103	4
上厕所	943	944	33	103	4
取快递	954	955	3	103	4
洗衣服	954	955	33	103	4
购物	954	955	113	103	4
玩原神	955	956	33	103	4
跑步	956	957	71	103	4
上厕所	957	958	33	103	4
上厕所	967	968	33	103	4
取快递	978	979	3	103	4
洗衣服	978	979	33	103	4
购物	978	979	113	103	4
玩原神	979	980	33	103	4
跑步	980	981	71	103	4
上厕所	981	982	33	103	4
上厕所	991	992	33	103	4
取快递	1002	1003	3	103	4
洗衣服	1002	1003	33	103	4
购物	1002	1003	113	103	4
玩原神	1003	1004	33	103	4
跑步	1004	1005	71	103	4
上厕所	1005	1006	33	103	4
上厕所	1015	1016	33	103	4
取快递	1026	1027	3	103	4
洗衣服	1026	1027	33	103	4
购物	1026	1027	113	103	4
玩原神	1027	1028	33	103	4
跑步	1028	1029	71	103	4
上厕所	1029	1030	33	103	4
上厕所	1039	1040	33	103	4
取快递	1050	1051	3	103	4
洗衣服	1050	1051	33	103	4
购物	1050	1051	113	103	4
玩原神	1051	1052	33	103	4
跑步	1052	1053	71	103	4
上厕所	1053	1054	33	103	4
上厕所	1063	1064	33	103	4
取快递	1074	1075	3	103	4
洗衣服	1074	1075	33	103	4
购物	1074	1075	113	103	4
玩原神	1075	1076	33	103	4
跑步	1076	1077	71	103	4
上厕所	1077	1078	33	103	4
上厕所	1087	1088	33	103	4
取快递	1098	1099	3	103	4
洗衣服	1098	1099	33	103	4
购物	1098	1099	113	103	4
玩原神	1099	1100	33	103	4
跑步	1100	1101	71	103	4
上厕所	1101	1102	33	103	4
上厕所	1111	1112	33	103	4
取快递	1122	1123	3	103	4
洗衣服	1122	1123	33	103	4
购物	1122	1123	113	103	4
玩原神	1123	1124	33	103	4
跑步	1124	1125	71	103	4
上厕所	1125	1126	33	103	4
上厕所	1135	1136	33	103	4
取快递	1146	1147	3	103	4
洗衣服	1146	1147	33	103	4
购物	1146	1147	113	103	4
玩原神	1147	1148	33	103	4
跑步	1148	1149	71	103	4
上厕所	1149	1150	33	103	4
上厕所	1159	1160	33	103	4
取快递	1170	1171	3	103	4
洗衣服	1170	1171	33	103	4
购物	1170	1171	113	103	4
玩原神	1171	1172	33	103	4
跑步	1172	1173	71	103	4
上厕所	1173	1174	33	103	4
上厕所	1183	1184	33	103	4
取快递	1194	1195	3	103	4
洗衣服	1194	1195	33	103	4
购物	1194	1195	113	103	4
玩原神	1195	1196	33	103	4
跑步	1196	1197	71	103	4
上厕所	1197	1198	33	103	4
上厕所	1207	1208	33	103	4
取快递	1218	1219	3	103	4
洗衣服	1218	1219	33	103	4
购物	1218	1219	113	103	4
玩原神	1219	1220	33	103	4
跑步	1220	1221	71	103	4
上厕所	1221	1222	33	103	4
上厕所	1231	1232	33	103	4
取快递	1242	1243	3	103	4
洗衣服	1242	1243	33	103	4
购物	1242	1243	113	103	4
玩原神	1243	1244	33	103	4
跑步	1244	1245	71	103	4
上厕所	1245	1246	33	103	4
上厕所	1255	1256	33	103	4
取快递	1266	1267	3	103	4
洗衣服	1266	1267	33	103	4
购物	1266	1267	113	103	4
玩原神	1267	1268	33	103	4
跑步	1268	1269	71	103	4
上厕所	1269	1270	33	103	4
上厕所	1279	1280	33	103	4
取快递	1290	1291	3	103	4
洗衣服	1290	1291	33	103	4
购物	1290	1291	113	103	4
玩原神	1291	1292	33	103	4
跑步	1292	1293	71	103	4
上厕所	1293	1294	33	103	4
上厕所	1303	1304	33	103	4
取快递	1314	1315	3	103	4
洗衣服	1314	1315	33	103	4
购物	1314	1315	113	103	4
玩原神	1315	1316	33	103	4
跑步	1316	1317	71	103	4
上厕所	1317	1318	33	103	4
上厕所	1327	1328	33	103	4
取快递	1338	1339	3	103	4
洗衣服	1338	1339	33	103	4
购物	1338	1339	113	103	4
玩原神	1339	1340	33	103	4
跑步	1340	1341	71	103	4
上厕所	1341	1342	33	103	4
上厕所	1351	1352	33	103	4
取快递	1362	1363	3	103	4
洗衣服	1362	1363	33	103	4
购物	1362	1363	113	103	4
玩原神	1363	1364	33	103	4
跑步	1364	1365	71	103	4
上厕所	1365	1366	33	103	4
上厕所	1375	1376	33	103	4
取快递	1386	1387	3	103	4
洗衣服	1386	1387	33	103	4
购物	1386	1387	113	103	4
玩原神	1387	1388	33	103	4
跑步	1388	1389	71	103	4
上厕所	1389	1390	33	103	4
上厕所	1399	1400	33	103	4
取快递	1410	1411	3	103	4
洗衣服	1410	1411	33	103	4
购物	1410	1411	113	103	4
玩原神	1411	1412	33	103	4
跑步	1412	1413	71	103	4
上厕所	1413	1414	33	103	4
上厕所	1423	1424	33	103	4
取快递	1434	1435	3	103	4
洗衣服	1434	1435	33	103	4
购物	1434	1435	113	103	4
玩原神	1435	1436	33	103	4
跑步	1436	1437	71	103	4
上厕所	1437	1438	33	103	4
上厕所	1447	1448	33	103	4
取快递	1458	1459	3	103	4
洗衣服	1458	1459	33	103	4
购物	1458	1459	113	103	4
玩原神	1459	1460	33	103	4
跑步	1460	1461	71	103	4
上厕所	1461	1462	33	103	4
上厕所	1471	1472	33	103	4
取快递	1482	1483	3	103	4
洗衣服	1482	1483	33	103	4
购物	1482	1483	113	103	4
玩原神	1483	1484	33	103	4
跑步	1484	1485	71	103	4
上厕所	1485	1486	33	103	4
上厕所	1495	1496	33	103	4
取快递	1506	1507	3	103	4
洗衣服	1506	1507	33	103	4
购物	1506	1507	113	103	4
玩原神	1507	1508	33	103	4
跑步	1508	1509	71	103	4
上厕所	1509	1510	33	103	4
上厕所	1519	1520	33	103	4
取快递	1530	1531	3	103	4
洗衣服	1530	1531	33	103	4
购物	1530	1531	113	103	4
玩原神	1531	1532	33	103	4
跑步	1532	1533	71	103	4
上厕所	1533	1534	33	103	4
上厕所	1543	1544	33	103	4
取快递	1554	1555	3	103	4
洗衣服	1554	1555	33	103	4
购物	1554	1555	113	103	4
玩原神	1555	1556	33	103	4
跑步	1556	1557	71	103	4
上厕所	1557	1558	33	103	4
上厕所	1567	1568	33	103	4
取快递	1578	1579	3	103	4
洗衣服	1578	1579	33	103	4
购物	1578	1579	113	103	4
玩原神	1579	1580	33	103	4
跑步	1580	1581	71	103	4
上厕所	1581	1582	33	103	4
上厕所	1591	1592	33	103	4
取快递	1602	1603	3	103	4
洗衣服	1602	1603	33	103	4
购物	1602	1603	113	103	4
玩原神	1603	1604	33	103	4
跑步	1604	1605	71	103	4
上厕所	1605	1606	33	103	4
上厕所	1615	1616	33	103	4
取快递	1626	1627	3	103	4
洗衣服	1626	1627	33	103	4
购物	1626	1627	113	103	4
玩原神	1627	1628	33	103	4
跑步	1628	1629	71	103	4
上厕所	1629	1630	33	103	4
上厕所	1639	1640	33	103	4
取快递	1650	1651	3	103	4
洗衣服	1650	1651	33	103	4
购物	1650	1651	113	103	4
玩原神	1651	1652	33	103	4
跑步	1652	1653	71	103	4
上厕所	1653	1654	33	103	4
上厕所	1663	1664	33	103	4
取快递	1674	1675	3	103	4
洗衣服	1674	1675	33	103	4
购物	1674	1675	113	103	4
玩原神	1675	1676	33	103	4
跑步	1676	1677	71	103	4
上厕所	1677	1678	33	103	4
上厕所	1687	1688	33	103	4
取快递	1698	1699	3	103	4
洗衣服	1698	1699	33	103	4
购物	1698	1699	113	103	4
玩原神	1699	1700	33	103	4
跑步	1700	1701	71	103	4
上厕所	1701	1702	33	103	4
上厕所	1711	1712	33	103	4
取快递	1722	1723	3	103	4
洗衣服	1722	1723	33	103	4
购物	1722	1723	113	103	4
玩原神	1723	1724	33	103	4
跑步	1724	1725	71	103	4
上厕所	1725	1726	33	103	4
上厕所	1735	1736	33	103	4
取快递	1746	1747	3	103	4
洗衣服	1746	1747	33	103	4
购物	1746	1747	113	103	4
玩原神	1747	1748	33	103	4
跑步	1748	1749	71	103	4
上厕所	1749	1750	33	103	4
上厕所	1759	1760	33	103	4
取快递	1770	1771	3	103	4
洗衣服	1770	1771	33	103	4
购物	1770	1771	113	103	4
玩原神	1771	1772	33	103	4
跑步	1772	1773	71	103	4
上厕所	1773	1774	33	103	4
上厕所	1783	1784	33	103	4
取快递	1794	1795	3	103	4
洗衣服	1794	1795	33	103	4
购物	1794	1795	113	103	4
玩原神	1795	1796	33	103	4
跑步	1796	1797	71	103	4
上厕所	1797	1798	33	103	4
上厕所	1807	1808	33	103	4
取快递	1818	1819	3	103	4
洗衣服	1818	1819	33	103	4
购物	1818	1819	113	103	4
玩原神	1819	1820	33	103	4
跑步	1820	1821	71	103	4
上厕所	1821	1822	33	103	4
上厕所	1831	1832	33	103	4
取快递	1842	1843	3	103	4
洗衣服	1842	1843	33	103	4
购物	1842	1843	113	103	4
玩原神	1843	1844	33	103	4
跑步	1844	1845	71	103	4
上厕所	1845	1846	33	103	4
上厕所	1855	1856	33	103	4
取快递	1866	1867	3	103	4
洗衣服	1866	1867	33	103	4
购物	1866	1867	113	103	4
玩原神	1867	1868	33	103	4
跑步	1868	1869	71	103	4
上厕所	1869	1870	33	103	4
上厕所	1879	1880	33	103	4
取快递	1890	1891	3	103	4
洗衣服	1890	1891	33	103	4
购物	1890	1891	113	103	4
玩原神	1891	1892	33	103	4
跑步	1892	1893	71	103	4
上厕所	1893	1894	33	103	4
上厕所	1903	1904	33	103	4
取快递	1914	1915	3	103	4
洗衣服	1914	1915	33	103	4
购物	1914	1915	113	103	4
玩原神	1915	1916	33	103	4
跑步	1916	1917	71	103	4
上厕所	1917	1918	33	103	4
上厕所	1927	1928	33	103	4
取快递	1938	1939	3	103	4
洗衣服	1938	1939	33	103	4
购物	1938	1939	113	103	4
玩原神	1939	1940	33	103	4
跑步	1940	1941	71	103	4
上厕所	1941	1942	33	103	4
上厕所	1951	1952	33	103	4
取快递	1962	1963	3	103	4
洗衣服	1962	1963	33	103	4
购物	1962	1963	113	103	4
玩原神	1963	1964	33	103	4
跑步	1964	1965	71	103	4
上厕所	1965	1966	33	103	4
上厕所	1975	1976	33	103	4
取快递	1986	1987	3	103	4
洗衣服	1986	1987	33	103	4
购物	1986	1987	113	103	4
玩原神	1987	1988	33	103	4
跑步	1988	1989	71	103	4
上厕所	1989	1990	33	103	4
上厕所	1999	2000	33	103	4
取快递	2010	2011	3	103	4
洗衣服	2010	2011	33	103	4
购物	2010	2011	113	103	4
玩原神	2011	2012	33	103	4
跑步	2012	2013	71	103	4
上厕所	2013	2014	33	103	4
上厕所	2023	2024	33	103	4
取快递	2034	2035	3	103	4
洗衣服	2034	2035	33	103	4
购物	2034	2035	113	103	4
玩原神	2035	2036	33	103	4
跑步	2036	2037	71	103	4
上厕所	2037	2038	33	103	4
上厕所	2047	2048	33	103	4
取快递	2058	2059	3	103	4
洗衣服	2058	2059	33	103	4
购物	2058	2059	113	103	4
玩原神	2059	2060	33	103	4
跑步	2060	2061	71	103	4
上厕所	2061	2062	33	103	4
上厕所	2071	2072	33	103	4
取快递	2082	2083	3	103	4
洗衣服	2082	2083	33	103	4
购物	2082	2083	113	103	4
玩原神	2083	2084	33	103	4
跑步	2084	2085	71	103	4
上厕所	2085	2086	33	103	4
上厕所	2095	2096	33	103	4
取快递	2106	2107	3	103	4
洗衣服	2106	2107	33	103	4
购物	2106	2107	113	103	4
玩原神	2107	2108	33	103	4
跑步	2108	2109	71	103	4
上厕所	2109	2110	33	103	4
上厕所	2119	2120	33	103	4
取快递	2130	2131	3	103	4
洗衣服	2130	2131	33	103	4
购物	2130	2131	113	103	4
玩原神	2131	2132	33	103	4
跑步	2132	2133	71	103	4
上厕所	2133	2134	33	103	4
上厕所	2143	2144	33	103	4
取快递	2154	2155	3	103	4
洗衣服	2154	2155	33	103	4
购物	2154	2155	113	103	4
玩原神	2155	2156	33	103	4
跑步	2156	2157	71	103	4
上厕所	2157	2158	33	103	4
上厕所	2167	2168	33	103	4
取快递	2178	2179	3	103	4
洗衣服	2178	2179	33	103	4
购物	2178	2179	113	103	4
玩原神	2179	2180	33	103	4
跑步	2180	2181	71	103	4
上厕所	2181	2182	33	103	4
上厕所	2191	2192	33	103	4
取快递	2202	2203	3	103	4
洗衣服	2202	2203	33	103	4
购物	2202	2203	113	103	4
玩原神	2203	2204	33	103	4
跑步	2204	2205	71	103	4
上厕所	2205	2206	33	103	4
上厕所	2215	2216	33	103	4
取快递	2226	2227	3	103	4
洗衣服	2226	2227	33	103	4
购物	2226	2227	113	103	4
玩原神	2227	2228	33	103	4
跑步	2228	2229	71	103	4
上厕所	2229	2230	33	103	4
上厕所	2239	2240	33	103	4
取快递	2250	2251	3	103	4
洗衣服	2250	2251	33	103	4
购物	2250	2251	113	103	4
玩原神	2251	2252	33	103	4
跑步	2252	2253	71	103	4
上厕所	2253	2254	33	103	4
上厕所	2263	2264	33	103	4
取快递	2274	2275	3	103	4
洗衣服	2274	2275	33	103	4
购物	2274	2275	113	103	4
玩原神	2275	2276	33	103	4
跑步	2276	2277	71	103	4
上厕所	2277	2278	33	103	4
上厕所	2287	2288	33	103	4
取快递	2298	2299	3	103	4
洗衣服	2298	2299	33	103	4
购物	2298	2299	113	103	4
玩原神	2299	2300	33	103	4
跑步	2300	2301	71	103	4
上厕所	2301	2302	33	103	4
上厕所	2311	2312	33	103	4
取快递	2322	2323	3	103	4
洗衣服	2322	2323	33	103	4
购物	2322	2323	113	103	4
玩原神	2323	2324	33	103	4
跑步	2324	2325	71	103	4
上厕所	2325	2326	33	103	4
上厕所	2335	2336	33	103	4
取快递	2346	2347	3	103	4
洗衣服	2346	2347	33	103	4
购物	2346	2347	113	103	4
玩原神	2347	2348	33	103	4
跑步	2348	2349	71	103	4
上厕所	2349	2350	33	103	4
上厕所	2359	2360	33	103	4
取快递	2370	2371	3	103	4
洗衣服	2370	2371	33	103	4
购物	2370	2371	113	103	4
玩原神	2371	2372	33	103	4
跑步	2372	2373	71	103	4
上厕所	2373	2374	33	103	4
上厕所	2383	2384	33	103	4
取快递	2394	2395	3	103	4
洗衣服	2394	2395	33	103	4
购物	2394	2395	113	103	4
玩原神	2395	2396	33	103	4
跑步	2396	2397	71	103	4
上厕所	2397	2398	33	103	4
上厕所	2407	2408	33	103	4
取快递	2418	2419	3	103	4
洗衣服	2418	2419	33	103	4
购物	2418	2419	113	103	4
玩原神	2419	2420	33	103	4
跑步	2420	2421	71	103	4
上厕所	2421	2422	33	103	4
上厕所	2431	2432	33	103	4
取快递	2442	2443	3	103	4
洗衣服	2442	2443	33	103	4
购物	2442	2443	113	103	4
玩原神	2443	2444	33	103	4
跑步	2444	2445	71	103	4
上厕所	2445	2446	33	103	4
上厕所	2455	2456	33	103	4
取快递	2466	2467	3	103	4
洗衣服	2466	2467	33	103	4
购物	2466	2467	113	103	4
玩原神	2467	2468	33	103	4
跑步	2468	2469	71	103	4
上厕所	2469	2470	33	103	4
上厕所	2479	2480	33	103	4
取快递	2490	2491	3	103	4
洗衣服	2490	2491	33	103	4
购物	2490	2491	113	103	4
玩原神	2491	2492	33	103	4
跑步	2492	2493	71	103	4
上厕所	2493	2494	33	103	4
上厕所	2503	2504	33	103	4
取快递	2514	2515	3	103	4
洗衣服	2514	2515	33	103	4
购物	2514	2515	113	103	4
玩原神	2515	2516	33	103	4
跑步	2516	2517	71	103	4
上厕所	2517	2518	33	103	4
上厕所	2527	2528	33	103	4
取快递	2538	2539	3	103	4
洗衣服	2538	2539	33	103	4
购物	2538	2539	113	103	4
玩原神	2539	2540	33	103	4
跑步	2540	2541	71	103	4
上厕所	2541	2542	33	103	4
上厕所	2551	2552	33	103	4
取快递	2562	2563	3	103	4
洗衣服	2562	2563	33	103	4
购物	2562	2563	113	103	4
玩原神	2563	2564	33	103	4
跑步	2564	2565	71	103	4
上厕所	2565	2566	33	103	4
上厕所	2575	2576	33	103	4
取快递	2586	2587	3	103	4
洗衣服	2586	2587	33	103	4
购物	2586	2587	113	103	4
玩原神	2587	2588	33	103	4
跑步	2588	2589	71	103	4
上厕所	2589	2590	33	103	4
上厕所	2599	2600	33	103	4
取快递	2610	2611	3	103	4
洗衣服	2610	2611	33	103	4
购物	2610	2611	113	103	4
玩原神	2611	2612	33	103	4
跑步	2612	2613	71	103	4
上厕所	2613	2614	33	103	4
上厕所	2623	2624	33	103	4
取快递	2634	2635	3	103	4
洗衣服	2634	2635	33	103	4
购物	2634	2635	113	103	4
玩原神	2635	2636	33	103	4
跑步	2636	2637	71	103	4
上厕所	2637	2638	33	103	4
上厕所	2647	2648	33	103	4
取快递	2658	2659	3	103	4
洗衣服	2658	2659	33	103	4
购物	2658	2659	113	103	4
玩原神	2659	2660	33	103	4
跑步	2660	2661	71	103	4
上厕所	2661	2662	33	103	4
上厕所	2671	2672	33	103	4
取快递	2682	2683	3	103	4
洗衣服	2682	2683	33	103	4
购物	2682	2683	113	103	4
玩原神	2683	2684	33	103	4
跑步	2684	2685	71	103	4
上厕所	2685	2686	33	103	4
上厕所	2695	2696	33	103	4
取快递	2706	2707	3	103	4
洗衣服	2706	2707	33	103	4
购物	2706	2707	113	103	4
玩原神	2707	2708	33	103	4
跑步	2708	2709	71	103	4
上厕所	2709	2710	33	103	4
上厕所	2719	2720	33	103	4
取快递	2730	2731	3	103	4
洗衣服	2730	2731	33	103	4
购物	2730	2731	113	103	4
玩原神	2731	2732	33	103	4
跑步	2732	2733	71	103	4
上厕所	2733	2734	33	103	4
上厕所	2743	2744	33	103	4
取快递	2754	2755	3	103	4
洗衣服	2754	2755	33	103	4
购物	2754	2755	113	103	4
玩原神	2755	2756	33	103	4
跑步	2756	2757	71	103	4
上厕所	2757	2758	33	103	4
上厕所	2767	2768	33	103	4
取快递	2778	2779	3	103	4
洗衣服	2778	2779	33	103	4
购物	2778	2779	113	103	4
玩原神	2779	2780	33	103	4
跑步	2780	2781	71	103	4
上厕所	2781	2782	33	103	4
上厕所	2791	2792	33	103	4
取快递	2802	2803	3	103	4
洗衣服	2802	2803	33	103	4
购物	2802	2803	113	103	4
玩原神	2803	2804	33	103	4
跑步	2804	2805	71	103	4
上厕所	2805	2806	33	103	4
上厕所	2815	2816	33	103	4
取快递	2826	2827	3	103	4
洗衣服	2826	2827	33	103	4
购物	2826	2827	113	103	4
玩原神	2827	2828	33	103	4
跑步	2828	2829	71	103	4
上厕所	2829	2830	33	103	4
上厕所	2839	2840	33	103	4
取快递	2850	2851	3	103	4
洗衣服	2850	2851	33	103	4
购物	2850	2851	113	103	4
玩原神	2851	2852	33	103	4
跑步	2852	2853	71	103	4
上厕所	2853	2854	33	103	4
上厕所	2863	2864	33	103	4
取快递	2874	2875	3	103	4
洗衣服	2874	2875	33	103	4
购物	2874	2875	113	103	4
玩原神	2875	2876	33	103	4
跑步	2876	2877	71	103	4
上厕所	2877	2878	33	103	4
上厕所	2887	2888	33	103	4
取快递	2898	2899	3	103	4
洗衣服	2898	2899	33	103	4
购物	2898	2899	113	103	4
玩原神	2899	2900	33	103	4
跑步	2900	2901	71	103	4
上厕所	2901	2902	33	103	4
上厕所	2911	2912	33	103	4
取快递	2922	2923	3	103	4
洗衣服	2922	2923	33	103	4
购物	2922	2923	113	103	4
玩原神	2923	2924	33	103	4
跑步	2924	2925	71	103	4
上厕所	2925	2926	33	103	4
上厕所	2935	2936	33	103	4
取快递	2946	2947	3	103	4
洗衣服	2946	2947	33	103	4
购物	2946	2947	113	103	4
玩原神	2947	2948	33	103	4
跑步	2948	2949	71	103	4
上厕所	2949	2950	33	103	4
上厕所	2959	2960	33	103	4
取快递	2970	2971	3	103	4
洗衣服	2970	2971	33	103	4
购物	2970	2971	113	103	4
玩原神	2971	2972	33	103	4
跑步	2972	2973	71	103	4
上厕所	2973	2974	33	103	4
上厕所	2983	2984	33	103	4
取快递	2994	2995	3	103	4
洗衣服	2994	2995	33	103	4
购物	2994	2995	113	103	4
玩原神	2995	2996	33	103	4
跑步	2996	2997	71	103	4
上厕所	2997	2998	33	103	4
上厕所	3007	3008	33	103	4
取快递	3018	3019	3	103	4
洗衣服	3018	3019	33	103	4
